Codigo_region;Circunscripción_senatorial;Distrito;region;comuna;votos_validos_opcion;opcion;votos_opcion
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;ALTO HOSPICIO;14219;APRUEBO;14219
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;ALTO HOSPICIO;37299;RECHAZO;37299
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;ALTO HOSPICIO;0;VOTOS EN BLANCO;274
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;ALTO HOSPICIO;0;VOTOS NULOS;977
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;CAMIÑA;202;APRUEBO;202
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;CAMIÑA;1432;RECHAZO;1432
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;CAMIÑA;0;VOTOS EN BLANCO;6
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;CAMIÑA;0;VOTOS NULOS;15
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;COLCHANE;95;APRUEBO;95
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;COLCHANE;1696;RECHAZO;1696
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;COLCHANE;0;VOTOS EN BLANCO;0
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;COLCHANE;0;VOTOS NULOS;26
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;HUARA;664;APRUEBO;664
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;HUARA;2243;RECHAZO;2243
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;HUARA;0;VOTOS EN BLANCO;8
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;HUARA;0;VOTOS NULOS;45
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;IQUIQUE;44451;APRUEBO;44451
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;IQUIQUE;84433;RECHAZO;84433
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;IQUIQUE;0;VOTOS EN BLANCO;723
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;IQUIQUE;0;VOTOS NULOS;2170
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;PICA;1519;APRUEBO;1519
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;PICA;3013;RECHAZO;3013
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;PICA;0;VOTOS EN BLANCO;31
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;PICA;0;VOTOS NULOS;54
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;POZO ALMONTE;2367;APRUEBO;2367
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;POZO ALMONTE;6704;RECHAZO;6704
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;POZO ALMONTE;0;VOTOS EN BLANCO;33
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;POZO ALMONTE;0;VOTOS NULOS;128
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;ANTOFAGASTA;93293;APRUEBO;93293
