platform;category;brier;baseline_brier;BSS;BSS_pos;BSS_norm;w_platform_base
Kalshi;politics;16,06;25,00;35,76;35,76;50,80;50,80
Polymarket;politics;16,34;25,00;34,64;34,64;49,20;49,20
