Codigo_region;Circunscripción_senatorial;Distrito;region;comuna;votos_validos_opcion;opcion;votos_opcion
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;MEJILLONES;2874;A FAVOR;2.874
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;MEJILLONES;5245;EN CONTRA;5.245
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;MEJILLONES;0;VOTOS EN BLANCO;120
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;MEJILLONES;0;VOTOS NULOS;348
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;OLLAGUE;364;A FAVOR;364
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;OLLAGUE;435;EN CONTRA;435
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;OLLAGUE;0;VOTOS EN BLANCO;14
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;OLLAGUE;0;VOTOS NULOS;17
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;SAN PEDRO DE ATACAMA;1811;A FAVOR;1.811
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;SAN PEDRO DE ATACAMA;3910;EN CONTRA;3.910
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;SAN PEDRO DE ATACAMA;0;VOTOS EN BLANCO;100
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;SAN PEDRO DE ATACAMA;0;VOTOS NULOS;249
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;SIERRA GORDA;408;A FAVOR;408
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;SIERRA GORDA;690;EN CONTRA;690
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;SIERRA GORDA;0;VOTOS EN BLANCO;7
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;SIERRA GORDA;0;VOTOS NULOS;37
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;TALTAL;2582;A FAVOR;2.582
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;TALTAL;4921;EN CONTRA;4.921
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;TALTAL;0;VOTOS EN BLANCO;145
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;TALTAL;0;VOTOS NULOS;363
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;TOCOPILLA;5255;A FAVOR;5.255
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;TOCOPILLA;10722;EN CONTRA;10.722
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;TOCOPILLA;0;VOTOS EN BLANCO;214
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;TOCOPILLA;0;VOTOS NULOS;842
3;CIRCUNSCRIPCION SENATORIAL 4;DISTRITO 4;DE ATACAMA;ALTO DEL CARMEN;1510;A FAVOR;1.510
3;CIRCUNSCRIPCION SENATORIAL 4;DISTRITO 4;DE ATACAMA;ALTO DEL CARMEN;2245;EN CONTRA;2.245
3;CIRCUNSCRIPCION SENATORIAL 4;DISTRITO 4;DE ATACAMA;ALTO DEL CARMEN;0;VOTOS EN BLANCO;94
3;CIRCUNSCRIPCION SENATORIAL 4;DISTRITO 4;DE ATACAMA;ALTO DEL CARMEN;0;VOTOS NULOS;221
3;CIRCUNSCRIPCION SENATORIAL 4;DISTRITO 4;DE ATACAMA;CALDERA;4658;A FAVOR;4.658
3;CIRCUNSCRIPCION SENATORIAL 4;DISTRITO 4;DE ATACAMA;CALDERA;8055;EN CONTRA;8.055
3;CIRCUNSCRIPCION SENATORIAL 4;DISTRITO 4;DE ATACAMA;CALDERA;0;VOTOS EN BLANCO;181
3;CIRCUNSCRIPCION SENATORIAL 4;DISTRITO 4;DE ATACAMA;CALDERA;0;VOTOS NULOS;547
3;CIRCUNSCRIPCION SENATORIAL 4;DISTRITO 4;DE ATACAMA;CHAÑARAL;2808;A FAVOR;2.808
3;CIRCUNSCRIPCION SENATORIAL 4;DISTRITO 4;DE ATACAMA;CHAÑARAL;5797;EN CONTRA;5.797
3;CIRCUNSCRIPCION SENATORIAL 4;DISTRITO 4;DE ATACAMA;CHAÑARAL;0;VOTOS EN BLANCO;127
3;CIRCUNSCRIPCION SENATORIAL 4;DISTRITO 4;DE ATACAMA;CHAÑARAL;0;VOTOS NULOS;367
3;CIRCUNSCRIPCION SENATORIAL 4;DISTRITO 4;DE ATACAMA;COPIAPO;41809;A FAVOR;41.809
3;CIRCUNSCRIPCION SENATORIAL 4;DISTRITO 4;DE ATACAMA;COPIAPO;60415;EN CONTRA;60.415
3;CIRCUNSCRIPCION SENATORIAL 4;DISTRITO 4;DE ATACAMA;COPIAPO;0;VOTOS EN BLANCO;1.497
3;CIRCUNSCRIPCION SENATORIAL 4;DISTRITO 4;DE ATACAMA;COPIAPO;0;VOTOS NULOS;3.975
3;CIRCUNSCRIPCION SENATORIAL 4;DISTRITO 4;DE ATACAMA;DIEGO DE ALMAGRO;2408;A FAVOR;2.408
3;CIRCUNSCRIPCION SENATORIAL 4;DISTRITO 4;DE ATACAMA;DIEGO DE ALMAGRO;5360;EN CONTRA;5.360
3;CIRCUNSCRIPCION SENATORIAL 4;DISTRITO 4;DE ATACAMA;DIEGO DE ALMAGRO;0;VOTOS EN BLANCO;124
3;CIRCUNSCRIPCION SENATORIAL 4;DISTRITO 4;DE ATACAMA;DIEGO DE ALMAGRO;0;VOTOS NULOS;384
3;CIRCUNSCRIPCION SENATORIAL 4;DISTRITO 4;DE ATACAMA;FREIRINA;1531;A FAVOR;1.531
3;CIRCUNSCRIPCION SENATORIAL 4;DISTRITO 4;DE ATACAMA;FREIRINA;3383;EN CONTRA;3.383
3;CIRCUNSCRIPCION SENATORIAL 4;DISTRITO 4;DE ATACAMA;FREIRINA;0;VOTOS EN BLANCO;86
3;CIRCUNSCRIPCION SENATORIAL 4;DISTRITO 4;DE ATACAMA;FREIRINA;0;VOTOS NULOS;224
3;CIRCUNSCRIPCION SENATORIAL 4;DISTRITO 4;DE ATACAMA;HUASCO;2207;A FAVOR;2.207
3;CIRCUNSCRIPCION SENATORIAL 4;DISTRITO 4;DE ATACAMA;HUASCO;4522;EN CONTRA;4.522
3;CIRCUNSCRIPCION SENATORIAL 4;DISTRITO 4;DE ATACAMA;HUASCO;0;VOTOS EN BLANCO;87
3;CIRCUNSCRIPCION SENATORIAL 4;DISTRITO 4;DE ATACAMA;HUASCO;0;VOTOS NULOS;331
3;CIRCUNSCRIPCION SENATORIAL 4;DISTRITO 4;DE ATACAMA;TIERRA AMARILLA;3723;A FAVOR;3.723
3;CIRCUNSCRIPCION SENATORIAL 4;DISTRITO 4;DE ATACAMA;TIERRA AMARILLA;5929;EN CONTRA;5.929
