region;comuna;electores_hombre_2024;electores_mujer_2024;pop_electores_2024;Edad 18-19;Edad 20-29;Edad 30-39;Edad 40-49;Edad 50-59;Edad 60-69;Edad 70-79;Edad 80-89;90 o más
DE LA ARAUCANIA;NUEVA IMPERIAL;15535;16057;31592;988;5.165;5.481;4.974;5.478;4.634;2.936;1.603;333
DE LA ARAUCANIA;PADRE LAS CASAS;30684;32715;63399;2.327;11.887;12.180;10.695;10.943;8.221;4.721;2.042;383
DE LA ARAUCANIA;PERQUENCO;3508;3593;7101;206;1.088;1.261;1.200;1.339;1.063;560;316;68
DE LA ARAUCANIA;PITRUFQUEN;11804;12779;24583;740;3.769;4.020;3.815;4.447;3.709;2.444;1.371;268
DE LA ARAUCANIA;PUCON;16532;17201;33733;927;5.048;6.820;6.164;5.462;4.508;2.993;1.591;220
DE LA ARAUCANIA;PUREN;5867;6082;11949;369;1.802;2.148;1.909;2.210;1.786;1.044;536;145
DE LA ARAUCANIA;RENAICO;4879;5119;9998;330;1.516;1.846;1.675;1.833;1.460;888;376;74
DE LA ARAUCANIA;SAAVEDRA;6644;6541;13185;359;1.891;2.373;2.007;2.402;1.993;1.284;740;136
DE LA ARAUCANIA;TEMUCO;116724;128630;245354;7.350;42.978;47.567;40.944;41.296;32.453;20.393;10.264;2.109
DE LA ARAUCANIA;TEODORO SCHMIDT;7364;7274;14638;422;2.050;2.537;2.240;2.648;2.375;1.489;729;148
DE LA ARAUCANIA;TOLTEN;5335;5091;10426;282;1.533;1.634;1.478;1.988;1.672;1.114;622;103
DE LA ARAUCANIA;TRAIGUEN;8671;9153;17824;579;2.680;2.947;2.755;3.292;2.793;1.720;862;196
DE LA ARAUCANIA;VICTORIA;15607;16532;32139;947;4.938;5.712;5.011;5.862;4.739;3.119;1.508;303
DE LA ARAUCANIA;VILCUN;12760;13347;26107;875;4.240;4.529;4.265;4.804;3.666;2.326;1.204;198
DE LA ARAUCANIA;VILLARRICA;30383;32277;62660;1.777;9.413;11.622;10.357;10.840;9.284;5.907;2.954;506
DE LOS RIOS;CORRAL;2891;2744;5635;172;764;915;775;1.162;872;601;314;60
DE LOS RIOS;FUTRONO;7715;7862;15577;458;2.522;2.885;2.422;2.906;2.301;1.322;651;110
DE LOS RIOS;LA UNION;17680;18227;35907;1.102;5.540;6.409;5.580;6.591;5.395;3.406;1.568;316
DE LOS RIOS;LAGO RANCO;5370;5254;10624;328;1.485;1.865;1.671;2.021;1.594;1.032;546;82
DE LOS RIOS;LANCO;8377;8780;17157;522;2.769;2.838;2.565;3.101;2.627;1.673;894;168
DE LOS RIOS;LOS LAGOS;9813;9767;19580;600;3.061;3.487;3.066;3.588;2.880;1.816;937;145
DE LOS RIOS;MAFIL;3832;3902;7734;215;1.118;1.487;1.149;1.392;1.169;760;384;60
DE LOS RIOS;MARIQUINA;10261;10383;20644;708;3.579;3.808;3.383;3.650;2.784;1.748;832;152
DE LOS RIOS;PAILLACO;9734;10158;19892;585;3.028;3.381;3.128;3.675;3.047;1.918;967;163
DE LOS RIOS;PANGUIPULLI;18615;18777;37392;1.035;5.431;6.394;5.948;7.247;5.584;3.649;1.821;283
DE LOS RIOS;RIO BUENO;15170;15600;30770;859;4.646;5.207;4.636;5.808;4.769;2.971;1.565;309
DE LOS RIOS;VALDIVIA;69670;75876;145546;4.379;25.532;28.282;23.792;24.036;20.560;12.211;5.623;1.131
DE LOS LAGOS;ANCUD;19205;19318;38523;1.169;6.010;7.099;6.318;6.997;5.654;3.335;1.647;294
DE LOS LAGOS;CALBUCO;17097;16345;33442;1.100;5.436;5.987;4.976;6.321;4.565;3.070;1.686;301
DE LOS LAGOS;CASTRO;20949;21609;42558;1.400;6.874;8.349;7.834;7.300;5.359;3.266;1.872;304
DE LOS LAGOS;CHAITEN;2676;2196;4872;133;681;781;962;971;658;429;219;38
DE LOS LAGOS;CHONCHI;6940;7031;13971;408;2.152;2.582;2.361;2.544;1.862;1.215;726;121
DE LOS LAGOS;COCHAMO;2532;2241;4773;101;558;804;738;937;796;532;262;45
DE LOS LAGOS;CURACO DE VELEZ;1831;1900;3731;116;582;632;608;640;476;367;252;58
DE LOS LAGOS;DALCAHUE;6960;6956;13916;448;2.411;2.669;2.366;2.371;1.731;1.103;691;126
DE LOS LAGOS;FRESIA;6397;6168;12565;342;1.884;2.142;1.849;2.434;1.976;1.197;630;111
DE LOS LAGOS;FRUTILLAR;9567;10022;19589;544;3.000;4.025;3.494;3.376;2.810;1.579;650;111
DE LOS LAGOS;FUTALEUFU;1972;1986;3958;65;421;590;580;775;708;522;269;28
DE LOS LAGOS;HUALAIHUE;5030;4393;9423;288;1.499;1.789;1.641;1.861;1.261;683;339;62
DE LOS LAGOS;LLANQUIHUE;8315;8491;16806;501;2.790;3.125;2.773;3.183;2.376;1.378;585;95
DE LOS LAGOS;LOS MUERMOS;8542;8270;16812;499;2.562;2.918;2.554;3.195;2.511;1.589;799;185
DE LOS LAGOS;MAULLIN;7738;7372;15110;373;2.146;2.579;2.073;2.877;2.293;1.639;946;184
DE LOS LAGOS;OSORNO;69505;75354;144859;4.662;23.660;27.353;24.903;25.137;20.060;11.988;5.863;1.233
DE LOS LAGOS;PALENA;1172;1107;2279;53;297;363;322;463;386;267;105;23
DE LOS LAGOS;PUERTO MONTT;101541;106315;207856;7.311;37.713;43.145;37.770;35.452;25.469;13.805;6.021;1.170
DE LOS LAGOS;PUERTO OCTAY;4771;4455;9226;257;1.375;1.584;1.390;1.809;1.453;869;408;81
DE LOS LAGOS;PUERTO VARAS;23686;24440;48126;1.381;6.972;10.525;9.567;8.235;6.156;3.458;1.566;266
DE LOS LAGOS;PUQUELDON;2215;2145;4360;81;630;677;747;816;598;477;286;48
DE LOS LAGOS;PURRANQUE;9663;9885;19548;587;2.958;3.320;2.890;3.718;3.040;1.902;960;173
DE LOS LAGOS;PUYEHUE;6181;6069;12250;328;1.786;2.101;1.942;2.438;1.963;1.118;467;107
DE LOS LAGOS;QUEILEN;3134;2987;6121;168;880;1.077;983;1.082;850;618;404;59
DE LOS LAGOS;QUELLON;12543;11988;24531;831;4.328;5.437;4.490;4.220;2.857;1.432;829;107
DE LOS LAGOS;QUEMCHI;4609;4374;8983;245;1.227;1.357;1.394;1.597;1.304;1.056;685;118
DE LOS LAGOS;QUINCHAO;4357;4339;8696;226;1.267;1.286;1.339;1.582;1.217;998;676;105
DE LOS LAGOS;RIO NEGRO;6633;6585;13218;335;1.876;2.193;2.077;2.579;2.011;1.345;679;123
DE LOS LAGOS;SAN JUAN DE LA COSTA;4402;4114;8516;190;1.119;1.235;1.528;1.799;1.355;831;376;83
DE LOS LAGOS;SAN PABLO;5020;5211;10231;247;1.408;1.632;1.616;2.035;1.618;1.060;505;110
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO;AYSEN;11675;11072;22747;758;3.463;4.717;4.212;3.809;3.082;1.688;913;105
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO;CHILE CHICO;3245;3098;6343;133;658;993;970;1.146;1.197;777;406;63
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO;CISNES;2532;2316;4848;178;691;1.075;892;908;651;302;129;22
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO;COCHRANE;1790;1645;3435;104;526;724;641;565;453;268;139;15
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO;COYHAIQUE;27160;27050;54210;1.784;7.517;10.655;10.672;9.333;7.234;4.398;2.284;333
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO;GUAITECAS;872;685;1557;38;264;325;327;284;180;96;40;3
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO;LAGO VERDE;710;551;1261;29;189;260;215;244;176;112;29;7
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO;O'HIGGINS;492;337;829;21;144;232;170;131;87;35;7;2
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO;RIO IBAÑEZ;1651;1468;3119;59;399;616;497;594;510;287;130;27
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO;TORTEL;374;326;700;24;128;192;128;131;65;25;7;0
DE MAGALLANES Y DE LA ANTARTICA CHILENA;ANTARTICA;144;21;165;1;9;50;50;30;17;7;0;1
DE MAGALLANES Y DE LA ANTARTICA CHILENA;CABO DE HORNOS(EX-NAVARINO);981;751;1732;43;292;483;416;243;168;70;16;1
DE MAGALLANES Y DE LA ANTARTICA CHILENA;LAGUNA BLANCA;481;338;819;13;82;174;150;147;154;69;26;4
DE MAGALLANES Y DE LA ANTARTICA CHILENA;NATALES;11910;11896;23806;576;3.154;4.562;4.294;3.985;3.343;2.441;1.266;185
DE MAGALLANES Y DE LA ANTARTICA CHILENA;PORVENIR;3315;2497;5812;157;771;1.200;1.265;991;754;415;226;33
DE MAGALLANES Y DE LA ANTARTICA CHILENA;PRIMAVERA;791;443;1234;39;143;264;276;235;167;84;23;3
DE MAGALLANES Y DE LA ANTARTICA CHILENA;PUNTA ARENAS;61449;60032;121481;3.359;17.689;22.737;22.808;19.647;18.541;10.526;5.231;943
DE MAGALLANES Y DE LA ANTARTICA CHILENA;RIO VERDE;472;246;718;9;54;116;161;173;129;54;21;1
DE MAGALLANES Y DE LA ANTARTICA CHILENA;SAN GREGORIO;362;225;587;8;81;123;122;98;98;35;19;3
DE MAGALLANES Y DE LA ANTARTICA CHILENA;TIMAUKEL;581;321;902;12;114;179;208;191;138;46;13;1
DE MAGALLANES Y DE LA ANTARTICA CHILENA;TORRES DEL PAINE;817;492;1309;10;122;281;371;261;164;74;23;3
;;;;;469.737;2.566.643;3.036.481;2.631.652;2.590.742;2.165.771;1.282.327;586.281;120.743
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
