Codigo_region;Circunscripción_senatorial;Distrito;region;comuna;votos_validos_candidato;candidato;votos_candidato
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;IQUIQUE;24113;JOSE ANTONIO KAST RIST;24113
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;IQUIQUE;6038;YASNA PROVOSTE CAMPILLAY;6038
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;IQUIQUE;6581;SEBASTIAN SICHEL RAMIREZ;6581
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;IQUIQUE;976;EDUARDO ARTES BRICHETTI;976
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;IQUIQUE;4687;MARCO ENRIQUEZ-OMINAMI GUMUCIO;4687
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;IQUIQUE;15802;FRANCO ALDO PARISI FERNANDEZ;15802
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;IQUIQUE;0;VOTOS EN BLANCO;229
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;IQUIQUE;0;VOTOS NULOS;556
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;PICA;403;GABRIEL BORIC FONT;403
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;PICA;758;JOSE ANTONIO KAST RIST;758
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;PICA;305;YASNA PROVOSTE CAMPILLAY;305
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;PICA;203;SEBASTIAN SICHEL RAMIREZ;203
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;PICA;27;EDUARDO ARTES BRICHETTI;27
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;PICA;100;MARCO ENRIQUEZ-OMINAMI GUMUCIO;100
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;PICA;743;FRANCO ALDO PARISI FERNANDEZ;743
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;PICA;0;VOTOS EN BLANCO;10
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;PICA;0;VOTOS NULOS;15
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;POZO ALMONTE;544;GABRIEL BORIC FONT;544
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;POZO ALMONTE;1260;JOSE ANTONIO KAST RIST;1260
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;POZO ALMONTE;664;YASNA PROVOSTE CAMPILLAY;664
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;POZO ALMONTE;229;SEBASTIAN SICHEL RAMIREZ;229
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;POZO ALMONTE;58;EDUARDO ARTES BRICHETTI;58
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;POZO ALMONTE;276;MARCO ENRIQUEZ-OMINAMI GUMUCIO;276
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;POZO ALMONTE;2049;FRANCO ALDO PARISI FERNANDEZ;2049
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;POZO ALMONTE;0;VOTOS EN BLANCO;29
1;CIRCUNSCRIPCION SENATORIAL 2;DISTRITO 2;DE TARAPACA;POZO ALMONTE;0;VOTOS NULOS;46
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;ANTOFAGASTA;28152;GABRIEL BORIC FONT;28152
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;ANTOFAGASTA;27263;JOSE ANTONIO KAST RIST;27263
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;ANTOFAGASTA;10143;YASNA PROVOSTE CAMPILLAY;10143
